1,3,1,1,1,1,15,0,1,1,1,0,6,0,37,2,1,11,1,1,17,1,1,6,7,1,4,1,1,0
1,0,0,33,0,0,0,1,4,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,10,1
1,1,1,1,0,26,29,1,1,1,1,0,0,1,1,0,1,1,0,21,1,0,1,1,5,0,11,1,0,1
25,1,5,1,1,0,0,1,0,34,0,0,10,0,1,1,1,1,1,0,1,0,3,0,1,0,1,1,3,1
0,1,33,1,5,1,1,1,1,0,5,1,1,0,1,0,1,0,1,0,25,1,0,1,13,1,1,0,1,0
12,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,18,15,18,1,19,0,0,17,1,1,11
1,1,1,1,0,1,10,33,1,0,16,0,1,0,0,0,1,1,1,18,0,1,0,1,0,1,1,0,0,1
1,0,1,1,29,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,12,0,1,17,1
6,11,0,19,1,1,24,1,9,1,1,18,0,1,1,0,1,0,3,1,0,9,1,5,0,1,1,0,1,0
1,0,8,0,1,0,34,0,0,1,0,1,0,1,0,0,1,1,0,8,9,1,0,1,6,0,1,1,10,18
15,0,1,10,1,1,0,1,1,1,1,1,0,31,16,0,1,0,9,1,0,1,1,7,1,1,0,1,0,5
1,0,6,0,36,0,1,1,0,1,1,20,14,0,0,0,7,1,0,1,1,5,0,0,1,1,0,33,1,0
1,1,0,1,1,1,1,6,0,1,0,1,0,1,20,13,0,0,1,0,32,0,6,8,0,0,14,0,1,1
19,0,1,0,1,0,1,0,1,1,1,5,1,13,0,0,1,1,17,0,16,0,5,0,1,1,1,0,0,3
1,1,3,0,1,12,1,21,0,1,0,1,0,1,20,0,1,17,1,1,0,1,1,0,5,0,32,1,1,1
1,0,0,12,1,0,0,1,0,7,0,0,1,0,1,6,1,1,0,1,1,17,1,0,15,0,1,0,1,0
5,1,7,0,10,7,1,1,5,19,1,20,6,16,0,0,3,1,0,0,1,0,1,1,0,1,1,1,0,15
1,0,1,1,0,1,0,1,1,3,0,0,0,0,1,1,0,9,1,9,1,0,5,6,0,14,0,1,7,1
33,1,0,1,1,8,1,0,1,1,12,1,5,1,0,1,1,0,1,0,0,3,1,1,1,1,0,1,0,0
0,0,1,1,0,1,0,5,0,0,1,0,1,19,1,21,1,0,1,17,1,0,0,0,1,0,1,1,1,13
6,1,1,0,1,1,0,1,1,4,1,14,0,1,0,1,0,17,0,1,1,1,1,1,1,0,7,0,0,3
1,0,35,1,1,0,1,1,0,1,0,0,3,0,0,1,0,1,1,1,0,1,1,0,0,10,1,7,0,8
1,0,0,0,0,13,1,0,1,0,5,1,32,1,35,0,1,0,33,0,10,0,0,1,1,0,1,1,10,0
3,1,1,12,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,34,0,1,0,35
1,0,1,1,29,0,1,1,4,1,1,1,5,0,1,1,0,9,0,4,0,9,0,1,1,1,1,17,0,1
1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,5,0,1,0,33,0,1,0,0,8,24
1,1,31,1,6,0,12,0,1,1,1,34,1,1,1,1,1,0,0,1,0,1,0,1,1,4,1,6,0,1
7,0,1,0,1,25,0,15,0,1,0,1,0,1,0,0,1,0,11,1,1,20,1,0,17,1,0,0,10,1
1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,3,0,1,0,1,0,10,0,0,1
16,0,5,10,1,14,0,1,21,1,13,0,1,1,0,0,0,17,1,17,1,1,4,1,10,1,1,36,16,0
