28,1,7,25,0,1,1,37,7,0,3,16,9,1,18,0,1,1,35,5
1,0,0,0,32,0,1,0,1,20,0,1,0,0,1,5,29,0,0,1
5,1,1,34,1,8,36,0,0,1,1,1,29,0,36,0,0,0,0,29
1,0,0,1,0,0,1,1,1,0,0,0,1,3,1,12,1,1,0,1
6,1,23,3,1,0,0,0,1,16,1,0,1,0,0,0,0,1,0,1
1,0,1,0,1,1,1,1,6,0,1,20,1,0,1,1,0,25,0,7
24,0,8,0,1,0,21,0,1,0,1,1,0,1,0,1,0,0,28,1
1,0,0,1,0,1,1,0,1,1,1,1,1,7,1,22,1,1,0,7
1,1,1,1,1,1,0,0,1,7,0,0,0,1,0,8,0,14,1,1
0,1,0,0,0,0,1,1,0,1,3,1,1,1,33,1,1,0,0,3
1,5,1,31,31,35,0,1,1,4,0,0,0,0,1,0,0,8,0,1
4,0,0,0,0,0,0,1,0,1,0,5,1,1,4,1,1,1,0,1
1,1,0,1,1,23,1,1,0,13,0,0,0,0,1,0,0,0,1,1
7,0,1,0,0,1,0,0,0,1,5,3,1,1,1,34,0,1,20,0
14,1,5,1,16,1,1,1,1,0,0,1,0,31,0,0,7,27,0,15
1,0,0,0,5,0,0,0,3,1,1,1,0,1,1,0,0,1,0,1
1,0,1,19,1,1,1,21,33,0,1,0,12,0,0,1,25,5,0,19
1,0,1,0,0,1,1,0,0,31,1,1,1,0,1,0,1,0,1,1
1,0,1,1,6,0,1,0,0,1,0,0,1,0,15,0,1,0,0,1
2,1,5,0,24,1,1,11,1,1,0,16,1,4,1,1,24,1,6,30
