3,7,1,0,1,1,22,1,0,1,1,5,1,21,1,1,0,1,1,1
27,0,1,19,1,0,0,1,1,7,0,14,0,1,0,1,5,1,0,1
0,1,24,0,1,0,8,1,0,1,0,0,0,1,1,0,27,0,12,1
35,29,0,1,6,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
0,0,1,0,0,1,1,6,1,1,0,5,0,1,1,1,0,1,18,1
1,1,5,19,1,1,0,1,0,5,0,3,1,13,0,0,26,3,0,0
1,0,0,0,26,0,7,1,0,1,1,0,1,0,1,6,5,1,1,1
5,13,0,1,0,0,0,4,0,1,0,1,0,0,1,0,18,0,10,1
1,0,1,1,1,8,0,1,0,1,1,6,1,1,1,0,3,35,0,1
1,0,0,1,0,0,0,1,1,0,0,1,0,36,0,0,18,0,0,34
7,1,1,1,1,1,8,0,1,2,1,1,0,1,1,8,5,32,1,1
1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
1,1,1,0,1,1,0,3,0,1,0,0,1,1,1,0,1,0,1,0
17,0,34,0,0,1,0,1,0,1,1,1,0,0,0,1,24,1,1,11
1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,33,0
0,1,1,0,0,0,4,1,0,1,0,0,0,0,1,0,1,0,1,1
11,1,0,1,16,0,6,0,0,1,1,1,1,1,0,1,1,0,0,23
0,1,5,1,0,3,1,35,0,1,0,0,0,1,0,1,0,9,16,5
1,1,0,0,12,0,0,8,0,1,0,1,35,0,1,1,1,0,0,1
0,5,6,1,1,5,37,0,0,7,1,5,0,1,1,0,1,1,1,6
